CustomModule19 Id,Portfolio Name,Portfolio Owner,Portfolio Owner ID,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Last Activity Time,Tag,Unsubscribed Mode,Unsubscribed Time,AppStore URL,Video,Website,Title,GooglePlay URL,Potential,Review,Categories,Industries,Live in Portfolio,Technologies,Featured Image,Published,Internal Use Only,URL,What Saritasa Did,Our Solution,Images,Quote,Overview,Key Features,Their Challenge,Status,AM Notes?,PM Approved,PM Notes?,PM Approval Date,AM Approval Date,AM Approved,Project Manager,Project Manager Id,Account Manager,Account Manager Id,Account
zcrm_339855000077549142,City of Los Angeles – VR Truck Inspection,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Sabrina Froehlich,zcrm_339855000021601023,2020-10-29 19:32:03,2021-02-08 13:04:00,2021-02-08 13:04:00,,,,,https://youtu.be/8KrUzrrv3IY,,City of Los Angeles – VR Truck Inspection,,zcrm_339855000053230177,zcrm_339855000077603047,AR/VR,Education,true,Unity,VRTruckInspection_featured.png,2020-07-17 12:03:00,false,https://www.saritasa.com/portfolio/city-of-la-vr-truck-inspection/,"[title]Unity Development[/title]
Our development team built the Proof-of-Concept for a virtual pre-trip vehicle inspection in Unity for the HTC Vive Cosmos. The purpose of the experience is to test prospective truck drivers on their ability to identify potential problems pre-trip. There’s a total of 14 items that applicants can interact with, with 7 correct choices and 7 incorrect choices.


[title]Timed Testing Experience[/title]
The tests have a 25-minute limit to complete. In order to avoid having a distracting timer counting down in the corner of the experience, we added a virtual watch that counts down the minutes. The watch is also how an applicant can end the test by selecting and holding the watch. The holding functionality is required so that users do not accidentally end the tests early.


[title]Unique Navigation[/title]
Applicants can navigate the experience via teleporting or using the joystick on the controller to “walk”. The tricky part of developing the navigation was ensuring that the user is always facing the truck without needing to turn around in real life.


[title]Secure Scoring[/title]
The results of the test are password-protected so that only approved personnel can view the scores and video recordings. The goal of the experience was to create a test that is as seamless as possible for both the proctors and the examinees.","Our team worked with the City of LA to build a virtual reality(VR) experience that allows them to more easily test truck drivers on a range of different pre-trip vehicle inspection points. A virtual reality experience minimizes costs and resources associated with testing. With a VR headset, the tests could be conducted anywhere and do not need to be scheduled for only large groups of applicants. 

Saritasa worked with the City of LA to create a proof of concept of the pre-trip vehicle inspection to help prove how virtual reality can be used as an innovative and efficient assessment tool.",,,,,The City of Los Angeles is responsible for the testing of truck drivers in order to qualify for many different job positions. These tests take a lot of time and resources including getting vehicles from the garage to a test site. The tests need to be scheduled for specific days at physical testing locations in order to test large groups all at once for efficiency. The virtual exam also allows for more efficient grading since it is captured on video for centralized scoring at any time.,,,false,,,,false,,,,,
zcrm_339855000077549143,Immersion Neuroscience Platform,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Sabrina Froehlich,zcrm_339855000021601023,2020-10-29 19:32:03,2021-02-08 13:31:08,2021-02-08 13:31:08,,,,,,https://www.getimmersion.com/,Immersion Neuroscience Platform,,,,Custom,Education,true,.NET,ImmersionNeuroscience_featured.png,2020-04-10 14:04:20,false,https://www.saritasa.com/portfolio/immersion-neuroscience-platform/,"Desktop Application
Our team developed a Windows desktop application that aggregate the information from the heart rate bands and displays the data in easy-to-understand graphs. The desktop app was built using .NET and supports both online and offline functionality.


Firmware Development
A separate dongle receives a signal from the heart rate bands and records the data, which is then passed on to the desktop app. Multiple heart rate bands can connect to a single dongle, resulting in multiple devices with different components, limitations, and range. Our development team worked to identify and solve these challenges in order to quickly and accurate transmit the data.


Real-Time Data
Immersion is measured second-by-second through the hundreds of signals collected by the heart rate band in real-time. The data is viewable anywhere in the world, by any team member, the through web interface.


Immersion Quotient™ (inQ)
inQ accurately predicts what people want based on measuring data coming from the brain and captured through the heart with 82%-95% accuracy. It can predict the impact of experiences including purchases, social shares, brand loyalty, and engagement.","The Immersion Neuroscience Platform uses a heart rate monitoring band to track a participant’s physical response to an experience in order to calculate their level of engagement using their proprietary Immersion Quotient™. The technology measures the wearer’s unconscious emotional responses that reveal information about what people really want, with a high level of accuracy. 

In the case study referenced above, using two neurologic measures, Immersion Neuroscience was able to identify the top-rated shows with 84% accuracy, compared to the self-reported 17%.",ImmersionNeuroscience_screenshots.png,,,,"In a study by Immersion Neuroscience, they asked a group of people which shows from a group of 25 different shows from 6 major U.S. cable TV channels they would watch, in order to predict which shows would be the most successful. Based on their responses of the shows they intended to what, they predicted the top-rated shows with only 17% accuracy. This means that having consumers self-report their reactions to a show is an unreliable way to predict ratings. 

This is just one example of many case studies that Immersion Neuroscience has done to show that self-reporting has a bias and is often incorrect or unreliable. They believed there was a better way, a more accurate way, to measure the value of experiences. And thus, the Immersion Neuroscience Platform what born.",,,false,,,,false,,,,,
zcrm_339855000077549144,ASCO Power Technologies VR Experience,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Sabrina Froehlich,zcrm_339855000021601023,2020-10-29 19:32:03,2021-10-12 17:44:24,2021-10-12 17:44:24,,,,,https://youtu.be/cgayu9f41As,,ASCO Power Technologies VR Experience,,,,AR/VR,Manufacturing,true,Unity,ASCOPowerTechnologiesVR_featured.png,2020-03-04 14:50:52,false,https://www.saritasa.com/portfolio/asco-power-technologies-vr-experience/,"3D Model
ASCO provided our team with 3D assets of the machine, which we then converted and optimized to function within a virtual environment.


Unity Development
The virtual experience was built in Unity and optimized to work with the Oculus Quest. The Quest is an untethered VR headset, so it does not need to be connected to a computer to run. Because of this, it was critical for our team to optimize the experience to run with the constraints of the Quest in mind.


Unique Navigation
Our team created a navigation system that allows a user to view and interact with the entire 360-degree model without having to move. This allows a viewer to see the entire switch within a confined space, such as a tradeshow floor.


Real-World Scenarios
Our team implemented a video “wall” in the virtual environment, which displays 360-degree videos of the power transfer switch in customer and manufacturer locations.","Saritasa worked with ASCO Power Technologies to create a virtual reality product demo that could be experienced anywhere – all through a VR headset. Our team traveled to the ASCO headquarters in order to interact with the device in person, to ensure that we had a complete understanding of how it functioned and determine the best way to demo the experience. 

By utilizing the Oculus Quest, our team created a portable way to view and interact with the power transfer switch in a virtual environment.",,,,,"ASCO Power Technologies is known as the industry standard for power transfer switches. Their devices achieve high-speed transfers of loads between alternate sources of power for mission-critical applications. 

Their challenge stems from the fact that their power transfer switches are incredibly large and heavy machines (over 3,000 pounds!). Due to their size and weight, it is hard for them to bring the devices to tradeshows or for live demos to potential clients. ASCO wanted to come up with a way to demo their high-end power transfer switch without the logistics of bringing the physical machine on-location.",,,false,,,,false,,,,,
zcrm_339855000077549145,Micro Mechanic App Development,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,2020-10-29 19:32:03,2021-07-01 10:45:58,2021-07-01 10:45:58,,,,,,,Micro Mechanic App Development,,,,Mobile,Automotive,true,Android;iOS;Java;Swift,MicroMechanic_featured.png,2020-02-13 09:40:10,false,https://www.saritasa.com/portfolio/micro-mechanic-app-development/,"Native Development
In order to unlock the full extent of each platform’s built-in features, our team used Android and iOS’s respective native programming languages to build the Micro Mechanic apps.


Bluetooth Integration
The Micro Mechanic apps were built to be compatible with both the Android and iOS apps through Bluetooth, creating an easy and reliable connection between the devices for quick updates.


OBD-II Integration
Once a user initiates a scan, the app will display the issues it found, along with information on whether the car is safe to drive or needs immediate attention. Along with displaying the issue, the app also calculates the estimated repair costs and provides automatic maintenance reminders to keep your car in top shape.


Micro Mechanic Pro
While the free version of the Micro Mechanic app allows users to check immediate issues with their car, the Pro version provides a Live Dashboard and Performance Timer which gives deeper insights into the car’s metrics.","Micro Mechanic is a small device that plugs into a vehicle’s OBD-II port and diagnoses the issues making your engine light turn on. As Seen On Tv, Inc. came to Saritasa for the development of the device’s companion apps, which allows the user to quickly and easily see the problem and how high priority it is.",MicroMechanic_screenshots.png,,,,"Everyone has felt that moment of despair when their “check engine” light turns on. It can be frustrating not knowing what is wrong with your car, or how serious it is. Spending money on costly mechanic visits only to learn that you just needed a simple oil change can feel like a waste. On the other hand, assuming that the issue is a low priority can cost you thousands of dollars if it ends up being severe. 

As Seen On Tv, Inc wanted to come up with an inexpensive, easy-to-use solution to help people understand what was wrong which their cars in order to get rid of the unease caused by the “check engine” light.",,,false,,,,false,Kostya Bukin,zcrm_339855000038345001,,,
zcrm_339855000077549146,Nexem Staffing Website Development,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Sabrina Froehlich,zcrm_339855000021601023,2020-10-29 19:32:03,2021-10-12 17:44:12,2021-10-12 17:44:12,,,,,,,Nexem Staffing Website Development,,,,Web,Business Services,true,PHP;Wordpress,NexemStaffing_featured.png,2020-01-25 11:26:33,false,https://www.saritasa.com/portfolio/nexem-staffing-website-development/,"WordPress
In order to make it easy for the Nexem team to manage and maintain the backend, we utilized WordPress as the platform for their website.


Theme Customization
Our team heavily customized a theme for Nexem Staffing in order to create a budget-friendly website that still flowed with their specific business logic.


Programming Language
Our team of experienced developers used PHP to build the Nexem Staffing website. 


Multiple User Types
The website is used by two user types: job searchers and job posters.  Potential employers can contact Nexem to have their open positions posted on the website, and potential employees and search and apply to jobs.","Saritasa worked with Nexem to create a solution that would provide the most positive experience for their clients and users. Due to their specific business workflows, they needed to create a highly customized website that is easy and intuitive to navigate.",NexemStaffing_screenshots.jpg,"Last week’s issue of the OCBJ listed OC’s fastest growing privately-owned companies. We were excited to see Nexem listed at #1 on the “large companies” list with 1933% growth over the past 2 years. The purpose of this note is to say thanks to you and your team at Saritasa for your support and partnership in helping us build a meaningful brand and the assets we need to thrive. Round two is going well and I fully expect to see more great things happen for Nexem once our Healthcare site is launched.

– Steve Templeton, Nexem Corporation Chief Marketing Officer",,,"Nexem Staffing connects people looking for work with companies searching for the right employee. They operate in a variety of industries, from production to administrative to construction and everything in between. They needed an updated website that would allow them to operate more efficiently in connecting potential employers and employees.",,,false,,,,false,,,,,
zcrm_339855000077549147,ComChat Android App Development,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Artem Razvodov,zcrm_339855000031015001,2020-10-29 19:32:03,2021-07-21 14:03:44,2021-07-21 14:03:44,,,,,,,ComChat Android App Development,,,,Mobile,Other,true,Android;Java;Python,ComChat_featured.png,2020-01-17 14:34:33,false,https://www.saritasa.com/portfolio/comchat-android-app-development/,"Native Development 
The application was build in Android’s native programming language, Java, and in Python.


Multi-Layer Encryption
The idea behind ComChat is to allow people to share information safely and securely, this the need for strong encryption. The three-tier encryption system ensures multiple layers of security for user information.


UI/UX
The user interface and user experience played a key role in the design and development of the app, as it had to be intuitive and easy for users to pick up and use during times of crime and crisis.


Evidence-Gathering
Users can post anonymously in order to report crimes and alert police to suspicious activity. They also have the ability to mask their voices in audio files to protect their identities.","ComChat is a secure digital platform built to reduce crime and increase communication between the local police and members of the community. It allows users to anonymously report crimes, drop pins in specific locations, and alert law enforcement of suspicious activity. The project is an innovative, tech-based approach to fighting crime in Trinidad.",ComChat_screenshots.png,,,,"A strained relationship between the public and the police can lead to poor communication, distrust, and rising crime. Jonathan Sharma witnessed the trouble that corruption brings firsthand when his father was kidnapped and held for ransom – an event that forever changed his life and drove him to find ways to help protect communities. 

Sharma believes that technology can help bridge the gap between police and the public in order to reduce crime rates and bring a safer world. He wanted to create an interface that allowed ordinary citizens to anonymously alert the police, and other civilians, of criminal activity – and thus ComChat was born.",,,false,,,,false,Artem Razvodov,zcrm_339855000031015001,,,
zcrm_339855000077549148,iHeartMedia VR Earthquake Experience,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Sabrina Froehlich,zcrm_339855000021601023,2020-10-29 19:32:03,2021-02-08 13:29:20,2021-02-08 13:29:20,,,,,https://www.youtube.com/watch?v=6JBA8gP2jrU,,iHeartMedia VR Earthquake Experience,,,,AR/VR,Education,true,Unity,iHeartMedia_featured.png,2019-12-09 15:52:52,false,https://www.saritasa.com/portfolio/iheartmedia-vr-earthquake-experience/,"Tight Deadline

We were able to go from concept to delivery in 3 weeks by using pre-existing Unity assets for the artwork and the dedication of our team to work around the clock for a fantastic product.

Virtual Reality Development

Using a combination of Unity and Steam VR SDKs, our development team was able to quickly construct the realistic earthquake experience for the HTC Vive.

Interactive Experience 

The experience itself contains objects that fall down and break from the “shaking” of the earthquake. Users are directed to follow a 7 point checklist of preparedness instructions. In order to “survive” the earthquake, the user is instructed to crawl under a VR table for protection.

OnSite Support

We sent a couple members of our team to Wango Tango with iHeartRadio in order to ensure the VR experience functioned smoothly — aiding in set up (including tarps to shield the HTC Vive sensor’s from the sunlight’s interference), support during the event, and take down — providing an overall successful project.

Future Usage

Due to the success of the earthquake experience at Wango Tango, Saritasa will be offering onsite support to iHeartRadio during future events where the experience is used.",The Saritasa 3D design and development team has extensive experience and was able to successfully deliver an immersive earthquake experience to hundreds of attendees at Wango Tango — even with the tight deadline.,,"“From brainstorming to troubleshooting onsite issues during our events, Saritasa has been invaluable to our VR projects. Their team is dedicated. Their process is seamless, and they go above and beyond in every phase of the project. As a result, they’ve earned their place as one of my “first call” technology partners.” 

— Zaqary Whitnack, iHeartMedia, Inc.",,,"iHeartMedia wanted to create virtual reality experience at Wango Tango, a huge music festival in Southern California, that simulated an earthquake in order to promote awareness and education. The idea was to create a virtual earthquake to provide a lifelike training experience without an actual earthquake.

The catch? We only had 3 weeks to build it.",,,false,,,,false,,,,,
zcrm_339855000077549149,KIGT App Development,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,2020-10-29 19:32:03,2021-07-01 15:02:36,2021-07-01 15:02:36,,,,,https://youtu.be/Xfmgnz3m7pA,https://www.kigtinc.com/,KIGT App Development,,zcrm_339855000007638103,zcrm_339855000054971001,Mobile;Custom,Automotive,true,Android;Java,KIGT_featured.png,2019-08-26 15:19:53,false,https://www.saritasa.com/portfolio/kigt-app-development/,"Scheduled Charging
The Charge Cloud app features Smart Charging – allowing the user to plug in their car but wait to start charging it until a scheduled time. This allows users to charge their cars during off-peak times when electricity costs less and therefore saves them money.


Analytics
Users can keep track of a variety of statistics through their Charge Cloud app. They are able to view how much money they have saved by relying on electric technology vs gasoline, how many charges they’ve had in the past week, etc.


Up-To-Date Information
From the moment a user plugs in their car, Charge Cloud calculates how long it’ll take to up to full battery, which is updated in real-time as the car changes.


Payment Integration
As the KIGT charging system is both for home and commercial use, the Charge Cloud integrates secure payment processes so that users on-the-go get the same seamless experience whether they are charging at home, at work, or wherever else they may be.","Saritasa worked with KIGT to create a mobile software that would interact with the charging stations, allowing users to control the flow of electricity and see analytics. Thus, the Charge Cloud app was born.",,,,,"KIGT produces and sells smart chargers for electric and hybrid cars, both for home and commercial use. They wanted to create a product that provided the user with a clean, smooth experience from start to finish in order to promote the benefits of eco-friendly cars. More than just plugging in their cars, KIGT wanted to give users complete control over their the electronic charger processes by connecting their charging stations with a mobile app.",,,false,,,,false,Kostya Bukin,zcrm_339855000038345001,,,
zcrm_339855000077549150,BJ’s Tip Share Software Development,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Anton Zimin,zcrm_339855000048342126,2020-10-29 19:32:03,2021-07-21 12:31:17,2021-07-21 12:31:17,,,,,,,BJ’s Tip Share Software Development,,,,Custom;Web,Restaurant,true,.NET,BJsTipShare_featured.png,2018-07-25 19:24:00,false,https://www.saritasa.com/portfolio/bjs-tip-share-software-development/,".Net Development

The BJs Tip Share app was built using .NET programming and is compatible with the restaurant’s Windows tablets.

API Integration

The application supports 3rd party API integration with the company’s payout service, allowing servers to access and collect their tips.

Legacy Hardware

The client had legacy hardware in the form of older tablets they used which we updated to be compatible with their newer tablets.

Remote Testing

We set up a remote server and worked with the client to deploy the app to their testing lab for a remote testing environment before the final launch.","As a full-service software and product development company, we were able to deliver a product that surpassed client expectations with minimal instructions.

The BJ’s Tip Share application is an internal software solution that easily and accurately allows servers to record their tips and share them with other employees (busboys, chiefs, etc).",BJsTipShare_screenshots.png,,,,"BJ’s Restaurants, Inc. is a huge American restaurant chain that serves thousands of consumers a day, which means they need a seamless process to record, collect, and share tips for servers. They have a pre-existing legacy software but did not have the time and resources to update the software themselves – that’s where Saritasa came in.",,,false,,,,false,Anton Zimin,zcrm_339855000048342126,Michelle Rice,zcrm_339855000004563032,
zcrm_339855000077549151,Avadyne Medical Billing App,Kostya Bukin,zcrm_339855000038345001,Kostya Bukin,zcrm_339855000038345001,Tristan Guinto,zcrm_339855000054995092,2020-10-29 19:32:03,2021-07-21 14:39:35,2021-07-21 14:39:35,,,,https://apps.apple.com/us/app/patient-concierge/id1383648965,https://vimeo.com/275726396,https://www.avadynehealth.com/,Avadyne Medical Billing App,https://play.google.com/store/apps/details?id=com.avadynehealth.patientconcierge,,,AR/VR;Mobile,Medical / Pharma,true,Android;iOS;Unity,AvadyneMedicalBilling_featured.jpg,2018-06-20 15:50:20,false,https://www.saritasa.com/portfolio/avadyne-medical-billing-app/,"Machine Learning

Our team utilized machine learning to teach the software to recognize different sections of the bill that the user is able to interact with. Each section of the bill is highlighted, and users are able to tap on individual sections to have the 3D Patient Concierge explain what the section is.

Voice-Over Technology

In order for the Patient Concierge experience to be as realistic and seamless as possible, our team user voice-over technology to lip-sync the recorded lines to the 3D asset’s mouth movements.

3D Assets

The Patient Concierge 3D asset was chosen to portray a professional tone that supports Avadyne’s branding from a 3D asset library.

Unity Development

The application was built using a 3rd party engine, Euphoria (based in Unity) because ARKit does not support the iPhone 6, which was part of the client’s requirements.","Saritasa worked with Avadyne Health to develop a Proof Of Concept for their new medical billing tool, doing research into ARKits capabilities and limitations in order to build an application that met their business needs and goals.

We ended up developing an AR application that allows a user to view their bill with a Patient Concierge who walks across the paper and provides information about the bill.",,,,,"Avadyne Health is a medical billing company that provides financial services to hospitals for patients. Their goal is to provide the best financial experience to a hospital’s patients as possible through an engaging, easy-to-use process in order to maximize satisfaction and loyalty.

When ARKit came out, Avadyne had the idea to create a tool to go beyond the standard boring billing process and stand out as an innovative leader in their space. They wanted to create an interactive augmented reality experience that allowed consumers to view and understand their bills in a more engaging way.

That’s where Saritasa came in.",,,false,,,,false,Tristan Guinto,zcrm_339855000054995092,,,
